Ime,Kraj,Leto,Moc [kW],Regija
Samooskrba,ŽALEC,2016,2.78,Celjska
Samooskrba,PODPLAT,2016,3.58,Celjska
Samooskrba,NAZARJE ,2016,11,Celjska
Samooskrba,LESIČNO,2016,7,Celjska
Samooskrba,ŠTORE,2016,11,Celjska
Samooskrba,ŠTORE,2016,10,Celjska
Samooskrba,LJUBNO OB SAVINJI ,2016,11,Celjska
Samooskrba,DOBRNA,2016,7,Celjska
Samooskrba,REČICA OB SAVINJI,2016,9,Celjska
Samooskrba,VRANSKO,2016,10,Celjska
Samooskrba,ŠMARJE PRI JELŠAH,2016,10,Celjska
Samooskrba,GROBELNO,2016,7.15,Celjska
Samooskrba,DOBRNA,2016,7.28,Celjska
Samooskrba,VITANJE,2016,7.8,Celjska
Samooskrba,ORLA VAS,2016,9,Celjska
Samooskrba,Loče,2016,10.4,Celjska
Samooskrba,VELENJE,2016,5,Celjska
Samooskrba,NAZARJE,2016,10,Celjska
Samooskrba,DOBRNA,2016,10.4,Celjska
Samooskrba,Tabor,2017,9,Celjska
Samooskrba,Mozirje,2017,3.7,Celjska
Samooskrba,Braslovče,2017,10,Celjska
Samooskrba,Mozirje,2017,5.9,Celjska
Samooskrba,Šmartno ob Paki,2017,9.12,Celjska
Samooskrba,Mozirje,2017,10.72,Celjska
Samooskrba,Gornji Grad,2017,10.83,Celjska
Samooskrba,Gornji Grad,2017,3.99,Celjska
Samooskrba,Nazarje,2017,11,Celjska
Samooskrba,Braslovče,2017,11,Celjska
Samooskrba,Luče,2017,11,Celjska
Samooskrba,Gomilsko,2017,5,Celjska
Samooskrba,Polzela,2017,11,Celjska
Samooskrba,Polzela,2017,11,Celjska
Samooskrba,Žalec,2017,7.41,Celjska
Samooskrba,Šempeter v Savinjski dolini,2017,9.9,Celjska
Samooskrba,Prebold,2017,11,Celjska
Samooskrba,Prebold,2017,10.83,Celjska
Samooskrba,Vransko,2017,10.83,Celjska
Samooskrba,Velenje,2017,9.9,Celjska
Samooskrba,Žalec,2017,10.26,Celjska
Samooskrba,Slovenske Konjice,2017,10,Celjska
Samooskrba,Rečica ob Savinji,2017,6,Celjska
Samooskrba,Rečica ob Savinji,2017,5.13,Celjska
Samooskrba,Velenje,2017,10.83,Celjska
